fixed attribute values,symbols
"(2, 0, 3, 3, 3)","[{1, 10, 5}]"
"(2, 0, 3, 3, '_')","[{1, 10, 5}, {1, 10, 5}]"
"(2, 0, 3, '_', 2)","[{1, 10, 5}, {1, 10, 6}, {1, 10}, {1, 10, 6}]"
"(2, 0, 3, '_', 3)","[{1, 10, 6}]"
"(2, 0, '_', 0, '_')","[{1, 4}]"
"(2, 0, '_', 2, 0)","[{9, 6, 1}]"
"(2, 0, '_', 2, 1)","[{9, 6, 1}, {9, 1}, {9, 6, 1}]"
"(2, 0, '_', 3, 3)","[{1, 5, 6}]"
"(2, 0, '_', '_', '_')","[{1, 6}]"
"(2, 1, 0, 0, 1)","[{8, 11, 4}]"
"(2, 1, 0, 1, 2)","[{2, 3, 14}]"
"(2, 1, 0, 1, 3)","[{2, 3, 14}, {2, 3, 14}, {2, 14}]"
"(2, 1, 0, 1, '_')","[{2, 3}, {2, 3, 14}, {2, 3, 14}]"
"(2, 1, 0, '_', 0)","[{2, 3}, {2, 3}]"
"(2, 1, 0, '_', 1)","[{2, 3, 6}]"
"(2, 1, 0, '_', 2)","[{2, 3}]"
"(2, 1, 0, '_', 3)","[{2, 3}]"
"(2, 1, 0, '_', '_')","[{2, 3}, {2, 3}]"
"(2, 1, 1, 0, '_')","[{8, 2, 12, 4}]"
"(2, 1, 1, 2, '_')","[{9, 2}]"
"(2, 1, 2, 1, 3)","[{2, 4, 14, 7}]"
"(2, 1, 2, 1, '_')","[{2, 7}, {2, 4, 14, 7}]"
"(2, 1, 2, 2, 2)","[{9, 2, 7}, {2, 7}]"
"(2, 1, 2, 2, 3)","[{9, 2, 7}]"
"(2, 1, 2, 2, '_')","[{9, 2, 7}]"
"(2, 1, 2, '_', 3)","[{2, 7}, {2, 7}]"
"(2, 1, 3, 0, 0)","[{10, 2, 4}]"
"(2, 1, 3, 0, 2)","[{10, 2, 4}]"
"(2, 1, 3, 0, '_')","[{8, 10, 2, 4}]"
"(2, 1, 3, 1, 3)","[{2, 10, 4}, {2, 10, 4, 14}]"
"(2, 1, 3, 1, '_')","[{2, 10, 4}, {2, 10, 4}]"
"(2, 1, 3, 2, 1)","[{9, 10}]"
"(2, 1, 3, 2, '_')","[{9, 2}]"
"(2, 1, 3, '_', '_')","[{10, 2}]"
"(2, 1, '_', 1, 3)","[{2, 4, 13, 14}]"
"(2, 1, '_', 2, 0)","[{9, 2}, {9, 2}, {9, 2}, {9, 2}]"
"(2, 1, '_', 2, 1)","[{9, 2}, {9, 2}]"
"(2, 1, '_', 2, 3)","[{9, 2}]"
"(2, 1, '_', 2, '_')","[{9, 2}, {9, 2}]"
"(2, 2, 0, 0, 0)","[{3, 4}]"
"(2, 2, 0, 0, 1)","[{3, 4, 15}]"
"(2, 2, 0, 0, '_')","[{3, 4, 15}, {4, 15}, {4, 15}]"
"(2, 2, 0, 1, 1)","[{3, 14, 15}]"
"(2, 2, 0, 1, 2)","[{14, 15}]"
"(2, 2, 0, 2, 1)","[{3, 15}, {3, 6, 15}]"
"(2, 2, 0, 2, 3)","[{3, 6, 15}]"
"(2, 2, 0, 2, '_')","[{3, 15}]"
"(2, 2, 0, 3, 2)","[{3, 5, 15}, {5, 15}]"
"(2, 2, 0, 3, 3)","[{3, 5, 15}, {3, 5, 15}]"
"(2, 2, 0, '_', 1)","[{3, 15}]"
"(2, 2, 0, '_', '_')","[{3, 15}]"
"(2, 2, 1, 0, 1)","[{8, 12, 13}, {8, 12, 13, 15}]"
"(2, 2, 1, 0, 3)","[{8, 12, 4}]"
"(2, 2, 1, 0, '_')","[{8, 12, 4, 15}]"
"(2, 2, 1, 1, 0)","[{12, 4, 6}, {12, 4, 14}]"
"(2, 2, 1, 1, 1)","[{12, 4, 14}]"
"(2, 2, 1, 1, 2)","[{12, 4, 14}]"
"(2, 2, 1, 2, 0)","[{9, 12, 15}]"
"(2, 2, 1, 2, 1)","[{9, 6, 15}, {9, 15}]"
"(2, 2, 1, 2, 3)","[{9, 12, 15}]"
"(2, 2, 1, '_', 2)","[{12, 13, 15}]"
"(2, 2, 1, '_', 3)","[{12, 15}]"
"(2, 2, 2, 1, 0)","[{4, 15, 7}]"
"(2, 2, 2, 1, 1)","[{6, 7}]"
"(2, 2, 2, 1, 2)","[{4, 15, 14, 7}, {4, 15, 7}, {4, 7}]"
"(2, 2, 2, 1, '_')","[{4, 14, 7}, {4, 15, 14, 7}, {4, 7, 14, 15}, {4, 14, 7}]"
"(2, 2, 2, 2, 0)","[{7, 15}]"
"(2, 2, 2, 2, 3)","[{9, 15, 7}, {9, 15, 7}]"
"(2, 2, 2, 2, '_')","[{9, 15, 7}]"
"(2, 2, 2, '_', 1)","[{15, 7}]"
"(2, 2, 2, '_', 2)","[{7, 4, 15}]"
"(2, 2, 2, '_', '_')","[{15, 7}, {15, 7}, {15, 7}]"
"(2, 2, 3, 0, 1)","[{10, 4, 15}, {10, 4, 15}, {10, 4, 15}]"
"(2, 2, 3, 0, 2)","[{10, 15}]"
"(2, 2, 3, 0, '_')","[{10, 4, 15}, {10, 4, 15}, {10, 4, 15}]"
"(2, 2, 3, 1, 0)","[{10, 4, 5}]"
"(2, 2, 3, 1, 1)","[{4, 15, 14, 6}, {4, 6, 10, 14, 15}]"
"(2, 2, 3, 2, 2)","[{10, 15}]"
"(2, 2, 3, 2, '_')","[{9, 10, 15}, {9, 10, 15}]"
"(2, 2, 3, 3, 3)","[{5, 15}]"
"(2, 2, 3, '_', 1)","[{10, 15}]"
"(2, 2, '_', 0, 0)","[{12, 4, 15}]"
"(2, 2, '_', 0, 3)","[{8, 4, 15}]"
"(2, 2, '_', 1, 1)","[{4, 6, 15}]"
"(2, 2, '_', 1, '_')","[{4, 14, 15}]"
"(2, 2, '_', 2, 1)","[{9, 15}, {9, 15}, {9, 15}]"
"(2, 2, '_', 2, '_')","[{9, 6, 15}]"
"(2, 2, '_', '_', 2)","[{13, 15}, {13, 15}]"
"(2, 2, '_', '_', '_')","[{5, 15}]"
"(2, 3, 0, 1, 0)","[{3, 13}]"
"(2, 3, 0, 1, 1)","[{8, 3, 14}, {8, 3, 4, 14}]"
"(2, 3, 0, 2, 0)","[{9, 3}, {8, 9, 3}, {9, 3}]"
"(2, 3, 0, 2, 2)","[{8, 9, 3}]"
"(2, 3, 0, '_', 2)","[{8, 13}]"
"(2, 3, 0, '_', '_')","[{8, 3}, {8, 3}, {8, 3}]"
"(2, 3, 1, 0, '_')","[{8, 12, 5}]"
"(2, 3, 1, 1, 2)","[{8, 4, 12}]"
"(2, 3, 1, 1, 3)","[{8, 12, 14}]"
"(2, 3, 1, 2, 1)","[{8, 9, 12}]"
"(2, 3, 1, 2, 3)","[{8, 9, 12}]"
"(2, 3, 1, '_', 3)","[{8, 12}]"
"(2, 3, 2, 0, 1)","[{8, 4, 7}]"
"(2, 3, 2, 2, 3)","[{8, 7}]"
"(2, 3, 2, 3, 1)","[{5, 7}, {8, 5, 7}]"
"(2, 3, 2, 3, 2)","[{8, 7}, {8, 5, 7}]"
"(2, 3, 2, 3, 3)","[{5, 7}]"
"(2, 3, 3, 0, 0)","[{8, 10, 4}, {8, 10, 4}]"
"(2, 3, 3, 3, 0)","[{10, 5}]"
"(2, 3, '_', 1, '_')","[{8, 4, 14, 7}]"
"(2, 3, '_', 2, 2)","[{8, 9}, {8, 9}]"
"(2, 3, '_', 3, 3)","[{10, 5}]"
"(2, 3, '_', '_', 2)","[{8, 13}]"
"(2, '_', 0, 1, 2)","[{3, 14}]"
"(2, '_', 0, 1, 3)","[{3, 4, 14}]"
"(2, '_', 0, 3, 2)","[{3, 5}]"
"(2, '_', 0, 3, 3)","[{3, 5}]"
"(2, '_', 1, 0, 0)","[{13, 12, 4}]"
"(2, '_', 1, 0, 3)","[{12, 4}]"
"(2, '_', 1, 0, '_')","[{12, 4}]"
"(2, '_', 1, 3, 0)","[{12, 5}]"
"(2, '_', 1, 3, 3)","[{12, 5}]"
"(2, '_', 1, '_', '_')","[{12, 13}]"
"(2, '_', 2, 1, 3)","[{4, 14, 7}, {4, 14, 7}, {13, 14, 7}]"
"(2, '_', 2, 1, '_')","[{13, 14, 7}, {14, 7}]"
"(2, '_', 2, 2, 0)","[{9, 7}, {9, 7}]"
"(2, '_', 2, 2, 1)","[{9, 7}]"
"(2, '_', 2, 2, 2)","[{9, 6, 7}, {9, 7}, {9, 2}, {9, 7}]"
"(2, '_', 2, 2, 3)","[{9, 7}, {9, 13, 7}]"
"(2, '_', 2, 2, '_')","[{9, 7}, {9, 7}]"
"(2, '_', 2, 3, '_')","[{5, 7}]"
"(2, '_', 2, '_', 3)","[{13, 7}, {13, 7}]"
"(2, '_', 2, '_', '_')","[{2, 7}]"
"(2, '_', 3, 1, 1)","[{10, 4, 14}]"
"(2, '_', 3, 2, 0)","[{9, 10}]"
"(2, '_', 3, 2, 1)","[{9, 10}, {9, 10}]"
"(2, '_', 3, 2, 2)","[{9, 10}, {9, 10}]"
"(2, '_', 3, 3, 0)","[{10, 5}]"
"(2, '_', 3, 3, 3)","[{10, 5}]"
"(2, '_', 3, '_', 2)","[{10, 12}, {10, 13}, {10, 12, 13}]"
"(2, '_', '_', 1, 0)","[{4, 13, 14}, {4, 12, 14, 6}]"
"(2, '_', '_', 1, 1)","[{13, 14}]"
"(2, '_', '_', 1, 2)","[{4, 13, 14}, {4, 13, 14, 6}]"
"(2, '_', '_', 1, 3)","[{4, 13, 14}, {4, 13, 14}]"
"(2, '_', '_', 1, '_')","[{4, 13, 14}, {4, 13, 14}, {4, 14}, {14, 7}]"
"(2, '_', '_', 2, 1)","[{9, 6}]"
"(2, '_', '_', 2, 2)","[{9, 13}]"
"(2, '_', '_', '_', 2)","[{13, 7}, {12, 13}, {12, 13, 15}]"
"(2, '_', '_', '_', '_')",[{13}]
"(3, 0, 0, 0, 1)","[{8, 1, 4}, {1, 11, 4}, {1, 11, 4}, {8, 1, 11, 4}]"
"(3, 0, 0, 0, 2)","[{1, 3, 4}]"
"(3, 0, 0, 1, 0)","[{1, 3, 14}]"
"(3, 0, 0, 1, 1)","[{1, 14, 6}]"
"(3, 0, 0, 1, '_')","[{1, 14}]"
"(3, 0, 0, 3, 0)","[{1, 3, 5}]"
"(3, 0, 0, 3, 1)","[{1, 5, 6}]"
"(3, 0, 0, '_', '_')","[{1, 3, 6}]"
"(3, 0, 1, 0, '_')","[{1, 12, 4}]"
"(3, 0, 2, 0, 0)","[{8, 1, 4}]"
"(3, 0, 2, 1, 0)","[{1, 7}, {1, 7}]"
"(3, 0, 2, 3, '_')","[{1, 5, 6}]"
"(3, 0, 3, 2, 2)","[{1, 10}]"
"(3, 0, '_', 2, 1)","[{1, 9, 6}]"
"(3, 0, '_', 3, '_')","[{1, 5}, {1, 5, 6}]"
"(3, 1, 0, 1, 0)","[{2, 3, 4}]"
"(3, 1, 0, 1, 3)","[{2, 3, 4}, {2, 3, 14}]"
"(3, 1, 0, 1, '_')","[{3, 4, 14, 6}]"
"(3, 1, 0, 3, '_')","[{5, 6}]"
"(3, 1, 0, '_', 0)","[{11, 2, 3}, {2, 3, 6}]"
"(3, 1, 0, '_', 1)","[{2, 3, 6}, {11, 2, 3}, {2, 3, 6}, {11, 3, 6}]"
"(3, 1, 0, '_', 3)","[{2, 11}]"
"(3, 1, 0, '_', '_')","[{2, 3}]"
"(3, 1, 1, 0, '_')","[{2, 12, 4}, {2, 12, 4}]"
"(3, 1, 1, 2, 0)","[{2, 12}, {9, 2, 12}]"
"(3, 1, 1, 3, 1)","[{2, 12, 5}]"
"(3, 1, 1, '_', 0)","[{2, 12}]"
"(3, 1, 1, '_', 3)","[{2, 12}]"
"(3, 1, 1, '_', '_')","[{2, 12}]"
"(3, 1, 2, 0, 0)","[{8, 2, 4}]"
"(3, 1, 2, 1, 1)","[{2, 7}]"
"(3, 1, 2, 1, '_')","[{2, 7}]"
"(3, 1, 2, '_', 0)","[{2, 4, 7}]"
"(3, 1, 3, 0, 2)","[{10, 2, 4}]"
"(3, 1, 3, 1, 1)","[{2, 10, 4, 14}]"
"(3, 1, 3, 2, 0)","[{2, 10}]"
"(3, 1, 3, 3, 3)","[{10, 5}]"
"(3, 1, 3, '_', 1)","[{10, 2}]"
"(3, 1, 3, '_', 2)","[{10, 2}]"
"(3, 1, '_', 0, '_')","[{8, 2, 4}]"
"(3, 2, 0, 0, 1)","[{3, 4, 15}]"
"(3, 2, 0, 0, 2)","[{3, 4, 15}]"
"(3, 2, 0, 0, 3)","[{3, 4, 15}]"
"(3, 2, 0, 1, 0)","[{3, 4, 15}]"
"(3, 2, 0, 1, 1)","[{3, 4, 15}, {3, 4, 15}, {3, 14, 15}, {3, 4, 14, 15}]"
"(3, 2, 0, 1, 3)","[{3, 4, 15}, {3, 15}]"
"(3, 2, 0, 1, '_')","[{3, 4, 15}, {3, 4, 15}, {3, 14, 15}]"
"(3, 2, 0, 3, 2)","[{5, 15}]"
"(3, 2, 0, '_', 1)","[{3, 15}]"
"(3, 2, 1, 0, 0)","[{12, 4, 15}]"
"(3, 2, 1, 0, 2)","[{8, 12, 4, 15}]"
"(3, 2, 1, 0, '_')","[{12, 4, 15}, {8, 12, 4, 15}, {12, 4, 15}, {12, 4, 15}, {12, 4, 15}]"
"(3, 2, 1, 1, 0)","[{12, 14, 15}, {12, 14, 15}, {12, 14, 15}, {12, 14, 15}]"
"(3, 2, 1, 1, 2)","[{12, 14, 15}]"
"(3, 2, 1, 1, 3)","[{12, 14}]"
"(3, 2, 1, 1, '_')","[{12, 14, 15}]"
"(3, 2, 1, 2, 0)","[{9, 15}]"
"(3, 2, 1, 2, 2)","[{9, 12, 6}, {9, 12, 15}]"
"(3, 2, 1, 2, 3)","[{9, 12, 6, 15}, {9, 15}, {6, 15}]"
"(3, 2, 1, 2, '_')","[{9, 12, 6, 15}]"
"(3, 2, 1, '_', 0)","[{12, 4, 15}]"
"(3, 2, 1, '_', 3)","[{12, 6, 15}]"
"(3, 2, 1, '_', '_')","[{12, 4, 15}]"
"(3, 2, 2, 1, 0)","[{4, 15, 7}]"
"(3, 2, 2, 1, 1)","[{4, 6, 14, 15}]"
"(3, 2, 2, 1, '_')","[{4, 15, 7}]"
"(3, 2, 2, '_', 0)","[{15, 4, 7}]"
"(3, 2, 2, '_', 1)","[{4, 7, 15}]"
"(3, 2, 2, '_', 2)","[{15, 4, 7}, {15, 4, 7}, {7, 15}]"
"(3, 2, 2, '_', 3)","[{7, 15}]"
"(3, 2, 2, '_', '_')","[{4, 7, 15}]"
"(3, 2, 3, 0, 0)","[{10, 4, 15}]"
"(3, 2, 3, 1, 0)","[{10, 4, 15}]"
"(3, 2, 3, 1, 1)","[{4, 6, 10, 14, 15}]"
"(3, 2, 3, 1, '_')","[{10, 4, 14, 15}]"
"(3, 2, 3, 2, '_')","[{10, 15}, {10, 15}]"
"(3, 2, 3, '_', '_')","[{10, 15}]"
"(3, 2, '_', 0, 1)","[{8, 4, 15}]"
"(3, 2, '_', 1, 1)","[{4, 6, 15}]"
"(3, 3, 0, 1, 1)","[{8, 3, 4}]"
"(3, 3, 0, 1, 3)","[{8, 3, 14}]"
"(3, 3, 0, 2, 1)","[{8, 11}]"
"(3, 3, 0, 3, 0)","[{3, 5}]"
"(3, 3, 0, 3, 1)","[{3, 5}, {8, 3, 5}, {3, 5}]"
"(3, 3, 0, '_', 2)","[{8, 3}]"
"(3, 3, 1, 0, 2)","[{8, 12, 4}]"
"(3, 3, 1, 1, 0)","[{8, 12, 14}]"
"(3, 3, 1, 2, '_')","[{8, 9, 12}, {8, 9, 12}]"
"(3, 3, 1, '_', 1)","[{8, 12}]"
"(3, 3, 1, '_', 2)","[{8, 11, 12}]"
"(3, 3, 2, 0, 3)","[{8, 4, 7}, {8, 4, 7}]"
"(3, 3, 2, 2, 1)","[{8, 7}]"
"(3, 3, 2, 2, 3)","[{8, 7}]"
"(3, 3, 2, 3, '_')","[{5, 7}, {8, 7}, {8, 5, 7}, {8, 5, 7}]"
"(3, 3, 2, '_', 0)","[{4, 7}]"
"(3, 3, 2, '_', 3)","[{8, 7}]"
"(3, 3, 3, 0, 0)","[{10, 4}]"
"(3, 3, 3, 0, '_')","[{8, 10, 4}, {8, 10, 4}]"
"(3, 3, '_', 1, '_')","[{8, 4}]"
"(3, '_', 1, 0, 3)","[{8, 11, 12, 4}, {8, 11, 12}, {11, 12}]"
"(3, '_', 1, 1, 2)","[{2, 12, 14}, {2, 12, 14}]"
"(3, '_', 1, 1, 3)","[{12, 14}]"
"(3, '_', 1, 1, '_')","[{12, 14}, {12, 14}, {12, 14}, {12, 14}]"
"(3, '_', 1, 2, 1)","[{9, 11, 12}]"
"(3, '_', 1, '_', '_')","[{9, 12}]"
"(3, '_', 2, 1, 1)","[{4, 14, 7}]"
"(3, '_', 2, 1, 3)","[{14, 7}]"
"(3, '_', 2, 1, '_')","[{4, 14, 7}, {4, 14, 7}, {4, 14, 7}, {14, 7}]"
"(3, '_', 2, 2, 0)","[{9, 7}]"
"(3, '_', 2, 2, 3)","[{9, 7}, {9, 7}, {9, 7}]"
"(3, '_', 2, 3, '_')","[{5, 7}]"
"(3, '_', 3, 0, 0)","[{10, 4}]"
"(3, '_', 3, 0, 2)","[{8, 10, 4}]"
"(3, '_', 3, 0, '_')","[{8, 10, 4}]"
"(3, '_', 3, 3, 3)","[{10, 5}]"
"(3, '_', 3, 3, '_')","[{10, 5}]"
"(3, '_', '_', 0, '_')","[{8, 11, 4}, {8, 11, 4}]"
"(3, '_', '_', 1, 0)","[{4, 14, 6}, {11, 4, 14}]"
"(3, '_', '_', 1, 2)","[{11, 4, 14}, {4, 14}]"
"(3, '_', '_', 1, 3)","[{11, 4, 13, 14}, {11, 12, 14}]"
"(3, '_', '_', 1, '_')","[{11, 4, 14}, {11, 4, 14}]"
"(3, '_', '_', 3, '_')","[{5, 7}]"
"(3, '_', '_', '_', 0)","[{9, 2, 11, 4}, {9, 11, 4}, {9, 11, 12}, {9, 11, 12, 4}]"
"(3, '_', '_', '_', 1)","[{9, 11, 6}, {11, 6}]"
"(3, '_', '_', '_', 2)","[{11, 13}, {2, 11, 12}]"
"(3, '_', '_', '_', 3)","[{11, 12}, {11, 12}, {11, 12}]"
"(3, '_', '_', '_', '_')","[{9, 11}, {9, 11}, {11}]"
"('_', 0, 0, 0, 0)","[{1, 3, 4}]"
"('_', 0, 0, 0, '_')","[{1, 3, 4}, {2, 3, 4}, {3, 4}, {8, 3, 4}, {1, 3, 4, 6}]"
"('_', 0, 0, 1, 1)","[{1, 14, 6}, {1, 14, 6}, {1, 14, 6}]"
"('_', 0, 0, 1, 2)","[{1, 3, 14, 6}, {1, 3, 14, 6}, {1, 3, 14}, {1, 14}]"
"('_', 0, 0, 1, '_')","[{1, 14, 6}, {1, 14}]"
"('_', 0, 0, 3, 0)","[{1, 5, 6}]"
"('_', 0, 0, 3, 2)","[{1, 3, 5, 6}, {1, 5, 6}]"
"('_', 0, 0, 3, '_')","[{1, 5, 6}, {1, 3, 5}, {1, 5, 6}, {1, 6}]"
"('_', 0, 0, '_', 1)","[{1, 3, 6}, {1, 6}]"
"('_', 0, 0, '_', '_')","[{1, 6}, {1, 6}, {1, 3}, {1, 3, 6}, {1, 3, 6}, {1, 3, 6}, {6}]"
"('_', 0, 1, 0, '_')","[{1, 12, 4}, {1, 12, 4}, {1, 12, 4}, {1, 12, 4}]"
