message,n_concepts
"(1, 1, 1, 0)",4
"(1, 2, 1, 0)",1
"(1, 2, 10, 0)",2
"(1, 2, 14, 0)",2
"(1, 2, 22, 0)",1
"(1, 2, 26, 0)",1
"(1, 2, 27, 0)",2
"(1, 10, 1, 0)",2
"(1, 10, 10, 0)",3
"(1, 10, 11, 0)",4
"(1, 10, 14, 0)",2
"(1, 10, 26, 0)",1
"(1, 11, 11, 0)",5
"(1, 13, 26, 0)",1
"(1, 14, 1, 0)",2
"(1, 14, 14, 0)",2
"(1, 20, 10, 0)",1
"(1, 20, 14, 0)",3
"(1, 20, 20, 0)",1
"(1, 20, 22, 0)",3
"(1, 21, 26, 0)",1
"(1, 22, 14, 0)",3
"(1, 22, 22, 0)",3
"(1, 23, 14, 0)",2
"(1, 26, 26, 0)",2
"(1, 27, 1, 0)",5
"(2, 1, 10, 0)",1
"(2, 2, 1, 0)",2
"(2, 2, 2, 0)",3
"(2, 2, 3, 0)",1
"(2, 2, 10, 0)",4
"(2, 2, 11, 0)",1
"(2, 2, 14, 0)",1
"(2, 2, 17, 0)",2
"(2, 2, 26, 0)",2
"(2, 2, 27, 0)",3
"(2, 3, 3, 0)",2
"(2, 4, 2, 0)",1
"(2, 4, 4, 0)",1
"(2, 4, 6, 0)",1
"(2, 4, 8, 0)",1
"(2, 4, 17, 0)",1
"(2, 4, 19, 0)",1
"(2, 4, 27, 0)",2
"(2, 5, 2, 0)",2
"(2, 5, 17, 0)",3
"(2, 5, 27, 0)",4
"(2, 6, 4, 0)",1
"(2, 8, 8, 0)",2
"(2, 9, 9, 0)",2
"(2, 10, 1, 0)",1
"(2, 10, 2, 0)",1
"(2, 10, 10, 0)",2
"(2, 10, 26, 0)",1
"(2, 11, 11, 0)",1
"(2, 13, 13, 0)",1
"(2, 14, 14, 0)",1
"(2, 17, 11, 0)",2
"(2, 17, 17, 0)",1
"(2, 22, 7, 0)",1
"(2, 22, 14, 0)",3
"(2, 22, 20, 0)",1
"(2, 23, 1, 0)",1
"(2, 23, 3, 0)",2
"(2, 23, 9, 0)",2
"(2, 23, 13, 0)",1
"(2, 23, 14, 0)",1
"(2, 23, 17, 0)",1
"(2, 23, 21, 0)",2
"(2, 23, 23, 0)",1
"(2, 23, 26, 0)",1
"(2, 23, 27, 0)",1
"(2, 26, 26, 0)",1
"(2, 27, 1, 0)",5
"(2, 27, 2, 0)",3
"(2, 27, 3, 0)",3
"(2, 27, 27, 0)",3
"(3, 3, 3, 0)",2
"(3, 3, 12, 0)",1
"(3, 13, 13, 0)",1
"(3, 27, 3, 0)",1
"(3, 27, 12, 0)",1
"(4, 4, 4, 0)",2
"(4, 4, 7, 0)",1
"(4, 4, 14, 0)",3
"(4, 4, 16, 0)",2
"(4, 4, 17, 0)",3
"(4, 4, 21, 0)",4
"(4, 4, 23, 0)",3
"(4, 4, 24, 0)",5
"(4, 4, 26, 0)",1
"(4, 6, 4, 0)",1
"(4, 6, 6, 0)",1
"(4, 6, 7, 0)",1
"(4, 6, 16, 0)",5
"(4, 6, 22, 0)",2
"(4, 7, 4, 0)",1
"(4, 7, 6, 0)",3
"(4, 7, 7, 0)",2
"(4, 7, 16, 0)",1
"(4, 7, 22, 0)",3
"(4, 8, 8, 0)",3
"(4, 8, 17, 0)",1
"(4, 13, 8, 0)",1
"(4, 13, 17, 0)",2
"(4, 16, 2, 0)",2
"(4, 16, 16, 0)",2
"(4, 16, 17, 0)",1
"(4, 16, 18, 0)",1
"(4, 16, 24, 0)",2
"(4, 21, 17, 0)",2
"(4, 21, 21, 0)",4
"(4, 22, 7, 0)",1
"(4, 22, 22, 0)",1
"(4, 22, 23, 0)",1
"(4, 23, 14, 0)",2
"(4, 23, 17, 0)",2
"(4, 23, 18, 0)",2
"(4, 23, 23, 0)",3
"(4, 23, 26, 0)",1
"(4, 24, 11, 0)",1
"(4, 24, 17, 0)",2
"(4, 24, 24, 0)",3
"(4, 27, 3, 0)",3
"(4, 27, 27, 0)",2
"(5, 2, 17, 0)",1
"(5, 5, 17, 0)",3
"(5, 8, 17, 0)",1
"(5, 17, 17, 0)",1
"(5, 27, 3, 0)",2
"(5, 27, 27, 0)",2
"(6, 2, 6, 0)",1
"(6, 2, 22, 0)",1
"(6, 4, 6, 0)",1
"(6, 6, 4, 0)",3
"(6, 6, 6, 0)",6
"(6, 6, 7, 0)",1
"(6, 6, 14, 0)",3
"(6, 6, 16, 0)",6
"(6, 6, 20, 0)",2
"(6, 6, 22, 0)",1
"(6, 12, 7, 0)",2
"(6, 12, 14, 0)",1
"(6, 12, 22, 0)",5
"(6, 14, 20, 0)",1
"(6, 16, 6, 0)",8
"(6, 16, 7, 0)",8
"(6, 16, 14, 0)",3
"(6, 16, 16, 0)",2
"(6, 16, 22, 0)",3
"(6, 16, 27, 0)",1
"(6, 20, 14, 0)",4
"(6, 20, 20, 0)",1
"(6, 20, 22, 0)",2
"(6, 22, 7, 0)",1
"(6, 22, 12, 0)",1
"(6, 22, 15, 0)",1
"(6, 22, 22, 0)",1
"(7, 4, 6, 0)",1
"(7, 4, 14, 0)",1
"(7, 4, 22, 0)",1
"(7, 6, 4, 0)",1
"(7, 6, 7, 0)",1
"(7, 6, 22, 0)",2
"(7, 16, 7, 0)",2
"(7, 22, 7, 0)",2
"(7, 22, 20, 0)",1
"(8, 8, 8, 0)",1
"(8, 8, 17, 0)",1
"(10, 10, 1, 0)",1
"(10, 10, 2, 0)",1
"(10, 10, 10, 0)",2
"(10, 10, 11, 0)",1
"(10, 10, 14, 0)",3
"(10, 10, 17, 0)",2
"(10, 10, 26, 0)",3
"(10, 14, 14, 0)",1
"(10, 17, 17, 0)",1
"(10, 17, 26, 0)",1
"(10, 26, 17, 0)",1
"(10, 26, 26, 0)",1
"(11, 11, 11, 0)",6
"(11, 11, 26, 0)",2
"(12, 3, 3, 0)",2
"(12, 5, 5, 0)",1
"(12, 5, 7, 0)",1
"(12, 5, 8, 0)",1
"(12, 5, 13, 0)",1
"(12, 5, 14, 0)",1
"(12, 5, 17, 0)",2
"(12, 5, 27, 0)",3
"(12, 6, 4, 0)",1
"(12, 6, 6, 0)",1
"(12, 6, 7, 0)",1
"(12, 6, 22, 0)",1
"(12, 7, 4, 0)",1
"(12, 7, 5, 0)",2
"(12, 7, 6, 0)",1
"(12, 7, 12, 0)",1
"(12, 7, 16, 0)",2
"(12, 7, 23, 0)",2
"(12, 8, 8, 0)",2
"(12, 9, 9, 0)",1
"(12, 10, 10, 0)",1
"(12, 10, 14, 0)",2
"(12, 11, 11, 0)",2
"(12, 12, 2, 0)",1
"(12, 12, 3, 0)",1
"(12, 12, 5, 0)",1
"(12, 12, 9, 0)",2
"(12, 12, 10, 0)",1
"(12, 12, 11, 0)",1
"(12, 12, 12, 0)",2
"(12, 12, 17, 0)",1
"(12, 12, 20, 0)",1
"(12, 12, 27, 0)",2
"(12, 13, 9, 0)",1
"(12, 13, 13, 0)",1
"(12, 13, 17, 0)",1
"(12, 13, 26, 0)",1
"(12, 14, 14, 0)",2
"(12, 15, 10, 0)",2
"(12, 15, 11, 0)",2
"(12, 15, 14, 0)",3
"(12, 15, 27, 0)",1
"(12, 16, 7, 0)",2
"(12, 16, 11, 0)",1
"(12, 16, 12, 0)",1
"(12, 16, 16, 0)",1
"(12, 22, 7, 0)",4
"(12, 22, 12, 0)",2
"(12, 22, 14, 0)",2
"(12, 22, 20, 0)",2
"(12, 23, 3, 0)",1
"(12, 23, 7, 0)",1
"(12, 23, 9, 0)",1
"(12, 23, 20, 0)",1
"(12, 26, 26, 0)",2
"(12, 27, 1, 0)",1
"(12, 27, 3, 0)",4
"(12, 27, 12, 0)",2
"(12, 27, 15, 0)",2
"(12, 27, 21, 0)",1
"(12, 27, 27, 0)",2
"(13, 8, 8, 0)",1
"(13, 13, 9, 0)",1
"(13, 13, 13, 0)",1
"(13, 13, 17, 0)",2
"(13, 17, 17, 0)",1
"(13, 26, 17, 0)",1
"(13, 26, 26, 0)",2
"(14, 10, 14, 0)",1
"(14, 14, 1, 0)",1
"(14, 14, 14, 0)",3
"(14, 14, 20, 0)",2
"(14, 20, 14, 0)",3
"(14, 20, 20, 0)",1
"(14, 20, 22, 0)",1
"(14, 23, 14, 0)",2
"(15, 10, 10, 0)",2
"(15, 10, 11, 0)",1
"(15, 10, 14, 0)",1
"(15, 10, 26, 0)",1
"(15, 11, 11, 0)",4
"(15, 13, 26, 0)",1
"(15, 14, 10, 0)",1
"(15, 14, 14, 0)",1
"(15, 14, 21, 0)",2
"(15, 15, 10, 0)",1
"(15, 15, 11, 0)",2
"(15, 15, 14, 0)",1
"(15, 21, 15, 0)",2
"(15, 21, 21, 0)",2
"(15, 21, 26, 0)",1
"(15, 26, 26, 0)",1
"(15, 27, 15, 0)",1
"(15, 27, 21, 0)",2
"(16, 2, 2, 0)",2
"(16, 2, 4, 0)",4
"(16, 2, 16, 0)",1
"(16, 2, 18, 0)",3
"(16, 2, 23, 0)",1
"(16, 2, 27, 0)",5
"(16, 6, 16, 0)",1
"(16, 7, 22, 0)",2
"(16, 11, 11, 0)",8
"(16, 12, 3, 0)",4
"(16, 12, 11, 0)",3
"(16, 12, 12, 0)",2
"(16, 12, 16, 0)",3
"(16, 12, 18, 0)",1
"(16, 12, 21, 0)",1
"(16, 12, 23, 0)",1
"(16, 12, 26, 0)",1
"(16, 13, 13, 0)",2
"(16, 13, 17, 0)",3
"(16, 13, 26, 0)",2
"(16, 16, 2, 0)",9
"(16, 16, 3, 0)",1
"(16, 16, 6, 0)",1
"(16, 16, 12, 0)",3
"(16, 16, 16, 0)",4
"(16, 16, 17, 0)",2
"(16, 16, 18, 0)",1
"(16, 16, 21, 0)",1
"(16, 16, 27, 0)",1
"(16, 17, 17, 0)",2
"(16, 24, 11, 0)",1
"(16, 24, 24, 0)",1
"(16, 26, 17, 0)",1
"(16, 27, 3, 0)",5
"(16, 27, 12, 0)",5
"(16, 27, 15, 0)",2
"(16, 27, 27, 0)",3
"(17, 8, 8, 0)",1
"(17, 11, 11, 0)",1
"(17, 13, 17, 0)",1
"(17, 17, 11, 0)",1
"(17, 17, 17, 0)",2
"(17, 26, 17, 0)",1
"(17, 26, 26, 0)",3
"(20, 4, 6, 0)",2
"(20, 4, 14, 0)",1
"(20, 6, 4, 0)",2
"(20, 6, 6, 0)",2
"(20, 6, 20, 0)",2
"(20, 6, 22, 0)",1
"(20, 20, 10, 0)",1
"(20, 20, 14, 0)",1
"(20, 20, 20, 0)",4
"(20, 20, 22, 0)",5
"(20, 20, 23, 0)",2
"(20, 22, 20, 0)",3
"(20, 23, 20, 0)",2
"(21, 13, 26, 0)",2
"(21, 21, 10, 0)",2
"(21, 21, 21, 0)",2
"(21, 26, 26, 0)",1
"(22, 7, 22, 0)",1
"(22, 10, 14, 0)",2
"(22, 10, 22, 0)",2
"(22, 14, 14, 0)",2
"(22, 20, 22, 0)",2
"(22, 22, 14, 0)",1
"(22, 22, 22, 0)",4
"(23, 2, 2, 0)",1
"(23, 2, 3, 0)",1
"(23, 2, 9, 0)",1
"(23, 2, 17, 0)",1
"(23, 4, 3, 0)",1
"(23, 4, 4, 0)",2
"(23, 4, 6, 0)",1
"(23, 4, 7, 0)",1
"(23, 4, 8, 0)",1
"(23, 4, 14, 0)",2
"(23, 4, 17, 0)",2
"(23, 4, 19, 0)",1
"(23, 4, 20, 0)",1
"(23, 4, 21, 0)",1
"(23, 4, 27, 0)",2
"(23, 5, 2, 0)",1
"(23, 5, 17, 0)",1
"(23, 5, 27, 0)",2
"(23, 6, 4, 0)",1
"(23, 6, 6, 0)",1
"(23, 6, 7, 0)",1
"(23, 6, 22, 0)",1
"(23, 7, 2, 0)",1
"(23, 7, 22, 0)",1
"(23, 8, 8, 0)",2
"(23, 8, 17, 0)",1
"(23, 9, 9, 0)",1
"(23, 10, 2, 0)",2
"(23, 10, 10, 0)",2
"(23, 10, 14, 0)",3
"(23, 10, 17, 0)",2
"(23, 10, 26, 0)",1
"(23, 12, 3, 0)",1
"(23, 12, 22, 0)",3
"(23, 13, 8, 0)",1
"(23, 13, 9, 0)",1
"(23, 13, 13, 0)",2
"(23, 13, 17, 0)",2
"(23, 13, 26, 0)",4
"(23, 14, 14, 0)",3
"(23, 17, 17, 0)",1
"(23, 20, 2, 0)",1
"(23, 20, 20, 0)",1
"(23, 20, 22, 0)",3
"(23, 20, 23, 0)",3
"(23, 21, 10, 0)",1
"(23, 21, 21, 0)",2
"(23, 21, 26, 0)",4
"(23, 22, 14, 0)",3
"(23, 22, 22, 0)",4
"(23, 23, 2, 0)",2
"(23, 23, 3, 0)",1
"(23, 23, 7, 0)",3
"(23, 23, 9, 0)",3
"(23, 23, 10, 0)",3
"(23, 23, 12, 0)",1
"(23, 23, 14, 0)",6
"(23, 23, 17, 0)",6
"(23, 23, 18, 0)",2
"(23, 23, 20, 0)",4
"(23, 23, 21, 0)",1
"(23, 23, 22, 0)",2
"(23, 23, 23, 0)",2
"(23, 23, 26, 0)",7
"(23, 26, 17, 0)",1
"(23, 27, 1, 0)",2
"(23, 27, 3, 0)",2
"(23, 27, 21, 0)",4
"(23, 27, 27, 0)",3
"(24, 11, 11, 0)",7
"(24, 13, 8, 0)",1
"(24, 13, 17, 0)",3
"(24, 17, 17, 0)",2
"(24, 17, 26, 0)",2
"(24, 24, 4, 0)",2
"(24, 24, 11, 0)",2
"(24, 24, 13, 0)",2
"(24, 24, 16, 0)",1
"(24, 24, 24, 0)",5
"(26, 26, 26, 0)",3
"(27, 1, 1, 0)",4
"(27, 1, 2, 0)",1
"(27, 3, 3, 0)",1
"(27, 10, 1, 0)",4
"(27, 10, 10, 0)",2
"(27, 12, 3, 0)",1
"(27, 15, 1, 0)",1
"(27, 21, 21, 0)",2
"(27, 27, 1, 0)",2
"(27, 27, 2, 0)",1
"(27, 27, 3, 0)",1
"(27, 27, 21, 0)",2
"(27, 27, 27, 0)",3
